,Experiment,NWChem,AIMNET,ATX,ATXclean,MOMOL_AM1,MOMOL_MNDOD,MOMOL_MNDO,MOMOL_PM3,MOMOL_PM6,MOMOL_PM7,MPC_AM1,MPC_MNDOD,MPC_MNDO,MPC_PM3,MPC_PM6,MPC_PM7,w06-2x+def2-TZVPP
RHQDFWAXVIIEBN-UHFFFAOYSA-N,3.7,0.105783,0.180296120,0.093229154,0.093229154,0.107942626,0.112596930,0.112540380,0.100162520,0.132129640,0.139897300,0.039977560,0.052920120,0.052920420,0.041746970,0.041387380,0.042028130,0.111465000
RIKMMFOAQPJVMX-UHFFFAOYSA-N,3.5,0.088688,0.149994820,0.075702300,0.075702300,0.117571960,0.101803970,0.101750955,0.105329730,0.127075970,0.137060880,0.043078880,0.040041390,0.040030480,0.044950060,0.044678830,0.047425610,0.094478000
RISOHYOEPYWKOB-UHFFFAOYSA-N,3.9,0.095651,,0.077462630,0.077462630,0.119578050,0.106717000,0.108396770,0.102995040,0.132782900,0.141436190,0.044632320,,0.041334120,0.041061970,,,0.100330000
RLSSMJSEOOYNOY-UHFFFAOYSA-N,3.6,0.100156,0.172013980,0.093250659,0.093250659,0.078718090,0.068242036,0.068242840,0.074109270,0.112303030,0.115504230,0.033307270,0.033357440,0.033359600,0.031205730,0.037598770,0.037173800,0.103115000
RMVRSNDYEFQCLF-UHFFFAOYSA-N,1.7,0.048311,0.084195200,0.048766215,0.048766215,0.049095690,0.029953321,0.031360660,0.045276810,0.087131515,0.075652026,0.024610570,,0.013090820,0.025075640,,,0.054628000
RPZNJLQPBDKQOG-JLAZNSOCSA-N,,0.101946,0.170819550,0.079450612,0.079450612,0.096779690,0.078854100,0.085480870,0.065840480,0.113851550,0.115504770,0.029496530,,0.027806300,0.022584150,,,0.108413000
RTZZCYNQPHTPPL-UHFFFAOYSA-N,4.6,0.117603,0.202494380,0.105246273,0.105246273,0.116738110,0.102276295,0.102257100,0.129258410,0.149190780,0.153649330,0.048205640,0.048081530,0.048082700,0.044881710,0.051998200,0.051950100,0.120449000
RUFPHBVGCFYCNW-UHFFFAOYSA-N,2.6,0.070552,0.130267440,0.059651564,0.059651564,0.077341594,0.038816616,0.038845737,0.048961790,0.097843210,0.110077600,0.038514460,0.021807680,0.021810480,0.026769510,0.037841730,0.041548180,0.074435000
RVDBZQDTMHPUAJ-UHFFFAOYSA-N,,0.056961,,0.048740959,0.048740959,0.136043160,0.075491200,0.067200790,0.116968654,0.084818944,0.071250770,0.033096250,,0.028076750,0.037039110,,,
RWEQEWKAJFTONV-UHFFFAOYSA-N,4.5,0.113626,0.178214550,0.095986690,0.095986690,0.108991410,0.107957825,0.107957110,0.103206680,0.147094820,0.149406400,0.038094790,0.042150100,0.042152810,0.036160510,0.047009410,0.046693150,0.122989000
SAPQIENQEZURNZ-UHFFFAOYSA-N,3.9,0.095731,0.173618910,0.080118625,0.080118625,0.121860490,0.094812110,0.094943814,0.102160200,0.138874290,0.150178540,0.045164500,0.038990690,0.038985050,0.036012180,0.050141530,0.052924630,0.103221000
SDXAWLJRERMRKF-UHFFFAOYSA-N,3.6,0.085589,0.147783380,0.072447828,0.072447828,0.109578060,0.096871080,0.096856220,0.094396250,0.115478200,0.125453830,0.041254600,0.038403630,0.038406920,0.040271770,0.041792290,0.044545760,0.090906000
SGHBRHKBCLLVCI-UHFFFAOYSA-N,4.5,0.11757,0.200698730,0.104329730,0.104329730,0.098682580,0.084076190,0.084188070,0.092915440,0.137670530,0.142938850,0.043884170,0.041333560,0.041310370,0.043036570,0.049020750,0.049025390,0.120177000
SIKJAQJRHWYJAI-UHFFFAOYSA-N,3.1,0.090487,0.149854270,0.073268698,0.073268698,0.104141810,0.083447635,0.083424850,0.091558860,0.111151930,0.119098870,0.040750920,0.035256110,0.035258740,0.038067220,0.043548520,0.046135340,0.096928000
SJTBRFHBXDZMPS-UHFFFAOYSA-N,4.1,0.108492,0.187951280,0.099185256,0.099185256,0.093454460,0.081694020,0.081711380,0.086189760,0.130858630,0.134540170,0.037988660,0.039217790,0.039219200,0.036538510,0.043820130,0.043472720,0.111775000
SLYRGJDSFOCAAI-UHFFFAOYSA-N,3.6,0.083539,0.141828570,0.060759706,,0.074127614,0.054037523,0.049185738,0.056336395,0.104977460,0.101005820,0.030186120,,0.025435170,0.029221840,,,0.086580000
SMBLCBJIVZBEPF-PEZBUJJGSA-N,,0.08894,0.149025660,0.083222097,0.083222097,0.075880480,0.062245812,0.062177308,0.064568210,0.095785440,0.092384220,0.024524920,0.022553940,0.022570110,0.018647550,0.027341390,0.026386440,
STABAPSYCQFWOK-UHFFFAOYSA-N,2.9,0.0716,0.108646214,0.073542403,0.073542403,0.081743464,0.070447660,0.073377650,0.064585150,0.093448530,0.093365180,0.026044220,,0.031589290,0.025831920,,,0.077321000
SUFGUGHOVHXSII-UHFFFAOYSA-N,2.1,0.055433,0.090610130,0.044598550,0.044598550,0.073416710,0.060324952,0.059417890,0.071498110,0.069728870,0.067884500,0.031195000,,0.028370290,0.035724970,,,0.062810000
SUVIGLJNEAMWEG-UHFFFAOYSA-N,1.4,0.036494,0.064827230,0.036979696,0.036979696,0.024127875,0.013278004,0.011824727,0.022164106,0.068217784,0.058599852,0.010928820,,0.007986063,0.015038520,,,0.042237000
SVHOVVJFOWGYJO-UHFFFAOYSA-N,3.4,0.095807,,0.094186150,0.094186150,0.099316850,0.092504260,0.095071840,0.088473810,0.148686980,0.142616270,0.025636920,,0.029094910,0.020076820,,,0.099651000
SZIFAVKTNFCBPC-UHFFFAOYSA-N,2.9,0.097032,0.168874100,0.088051907,0.088051907,0.072511790,0.070472494,0.073282270,0.067389645,0.103844420,0.109433250,0.025351230,,0.031973790,0.024983750,,,0.099414000
TUAMRELNJMMDMT-UHFFFAOYSA-N,3.6,0.098828,0.166146370,0.091992586,0.091992586,0.076855640,0.068063870,0.068079710,0.071738720,0.108022325,0.111271490,0.030027690,0.032153640,0.032155950,0.027929630,0.035351110,0.035229660,0.101453000
TXFPEBPIARQUIG-UHFFFAOYSA-N,4.3,0.112417,0.189164900,0.102590182,0.102590182,0.097827240,0.084799900,0.084851350,0.088687430,0.135307330,0.136592820,0.037257390,0.038190820,0.038193520,0.033923870,0.045579530,0.044242090,0.114554000
TXZFPFSKKKPJIK-UHFFFAOYSA-N,,0.044401,,0.043732153,0.043732153,0.143933600,0.057856202,0.060312893,0.126412380,0.093848090,0.089164030,0.030927400,,0.021295400,0.026361020,,,
TYMLOMAKGOJONV-UHFFFAOYSA-N,3.1,0.098497,0.161190960,0.081832292,0.081832292,0.125892670,0.085829970,0.085881725,0.112942340,0.141076450,0.144173770,0.049751720,0.042344900,0.042468760,0.044386450,0.053649940,0.053558150,0.100423000
TZAJCDOWOPBMKD-UHFFFAOYSA-N,2.6,0.063673,0.099637640,0.070385751,0.070385751,0.068979260,0.064268300,0.064416780,0.061739534,0.079933584,0.074067550,0.030587390,0.028245350,0.028271240,0.028749130,0.035684400,0.033170610,0.070765000
UEXCJVNBTNXOEH-UHFFFAOYSA-N,1.6,0.055779,0.087425960,0.048556171,0.048556171,0.089058070,0.065093815,0.065094486,0.077626480,0.069176000,0.069540300,0.035000660,0.027542140,0.027543260,0.036195510,0.028252940,0.028209460,0.063208000
UGEJOEBBMPOJMT-UHFFFAOYSA-N,4.3,0.111865,0.200822430,0.099951781,0.099951781,0.105185060,0.093436554,0.093483046,0.095700760,0.140603630,0.145153760,0.044031700,0.045358960,0.045346180,0.041834810,0.049370620,0.049353180,0.115001000
UHGULLIUJBCTEF-UHFFFAOYSA-N,3.1,0.094959,0.166702610,0.077227253,0.077227253,0.096702860,0.084390370,0.071984620,0.073477656,0.119511165,0.137392610,0.038674800,,0.030855040,0.030129610,,,0.097274000
UIZVATMSLGDSAW-UHFFFAOYSA-N,,0.058395,,0.048446454,0.048446454,0.120395824,0.076019526,0.065809384,0.135407250,0.084052786,0.068352700,0.056444520,,0.025608110,0.205611200,,,
UJOBWOGCFQCDNV-UHFFFAOYSA-N,3.3,0.090152,0.149144290,0.072026731,0.072026731,0.100488590,0.080703220,0.080674500,0.066755710,0.105552180,0.113891080,0.040105300,0.034769870,0.034804780,0.025690330,0.042210540,0.044860990,0.095952000
UMURLIQHQSKULR-UHFFFAOYSA-N,4.1,0.091359,0.157940630,0.063849222,,0.100560606,0.086068615,0.078588260,0.085866930,0.129326640,0.129895420,0.035882490,,0.031148860,0.036567810,,,0.093994000
UOCLXMDMGBRAIB-UHFFFAOYSA-N,1.4,0.042433,0.080678396,0.037839359,0.037839359,0.058677696,0.058096007,0.064454250,0.029447282,0.086543270,0.085312340,0.014055980,,0.016215720,0.011392950,,,0.043699000
UQXAGNCUOPPUJH-UHFFFAOYSA-N,,0.099454,0.176378890,0.082682931,0.082682931,0.112518980,0.093064755,0.093702090,0.095515640,0.123473990,0.135586460,0.045788380,0.041594360,0.042101380,0.044123610,0.050384250,0.053589810,
VEDXNNRTYCLCMP-UHFFFAOYSA-N,,0.107682,0.182129820,0.089224087,0.089224087,0.117050470,0.105788870,0.105694980,0.101756215,0.140731070,0.150626530,0.046020060,,0.046184980,0.052159360,,,0.114752000
VLFTYFLZHORIBC-UHFFFAOYSA-N,4.5,0.111794,0.173158380,0.089229235,0.089229235,0.156857520,0.139625970,0.138582050,0.202166170,0.155754420,0.167548340,0.058156870,0.060464450,0.059571420,0.059449900,0.056199430,0.059160440,0.119844000
VLJSLTNSFSOYQR-UHFFFAOYSA-N,3.7,0.099885,0.174458800,0.092881734,0.092881734,0.078564240,0.067662790,0.067730400,0.073750000,0.110810580,0.114220340,0.035970730,0.034589980,0.034592160,0.034245210,0.039884400,0.039513290,0.102529000
VLVCWODDMDGANW-UHFFFAOYSA-N,,0.084445,0.168090970,0.067848408,,0.170115190,0.136910270,0.117655784,0.170651810,0.154029500,0.161554860,0.033295950,,0.035913540,0.043899300,,,
VMIQGOWIVBBNEA-UHFFFAOYSA-N,,0.044575,,,,,,,,,,,,,,,,0.044981000
VPOMSPZBQMDLTM-UHFFFAOYSA-N,4.5,0.118869,0.199799420,0.105169793,0.105169793,0.102898860,0.090101860,0.097149510,0.084564920,0.147181390,0.151146550,0.036771220,,0.040504380,0.031972850,,,0.118985000
WDFQBORIUYODSI-UHFFFAOYSA-N,2.6,0.084383,,0.072676301,0.072676301,0.092897960,0.051223470,0.051864800,0.052424960,0.101237170,0.115704640,0.035454450,,0.026885130,0.028529630,,,0.087592000
WDNBURPWRNALGP-UHFFFAOYSA-N,4.4,0.116814,0.198362190,0.103277766,0.103277766,0.101218680,0.089903020,0.095772505,0.082435470,0.141559420,0.145763440,0.036537840,,0.040227080,0.031710620,,,0.117208000
WFJSIIHYYLHRHB-UHFFFAOYSA-N,2.5,0.078139,0.126860410,0.080110157,0.080110157,0.044421703,0.050799870,0.050724663,0.046358400,0.068893460,0.069930980,0.022033260,0.025329180,0.025316080,0.020775140,0.024892490,0.024508980,0.079945000
WGJCBBASTRWVJL-UHFFFAOYSA-N,3.8,0.088321,0.159391600,0.067276731,0.067276731,0.081510740,0.054912418,0.048971135,0.076201690,0.128600250,0.120898920,0.032924940,,0.026991400,0.039466770,,,0.089669000
WJQOZHYUIDYNHM-UHFFFAOYSA-N,3.5,0.102328,0.177759350,0.090929598,0.090929598,0.079443390,0.069901526,0.069963895,0.074572265,0.111031010,0.114356490,0.031641130,0.032440080,0.032438270,0.029115220,0.037938910,0.037634510,0.105248000
WJQWYAJTPPYORB-UHFFFAOYSA-N,3.1,0.089679,0.140371470,0.067937311,0.067937311,0.097344235,0.077441774,0.077391640,0.113221350,0.120398970,0.127965600,0.040195600,0.037099180,0.037089430,0.036541240,0.048065190,0.050260530,0.090912000
WMXCDAVJEZZYLT-UHFFFAOYSA-N,1.5,0.035725,0.053410877,0.036997358,0.036997358,0.023824457,0.016251307,0.015016017,0.020993180,0.059865933,0.048992910,0.013455290,,0.007000793,0.013318490,,,0.041167000
WMYNMYVRWWCRPS-UHFFFAOYSA-N,1.9,0.045687,0.097163650,0.034194897,0.034194897,0.086112010,0.065127835,0.065130570,0.073307150,0.078380460,0.068345610,0.033611590,0.027585120,0.027593030,0.033725040,0.024174430,0.022424040,0.055483000
WPYMKLBDIGXBTP-UHFFFAOYSA-N,3.8,0.107082,0.210119860,0.106651878,0.106651878,0.101764730,0.083442670,0.083449066,0.099973200,0.126838620,0.132441330,0.043807160,0.033725320,0.033696920,0.043160750,0.037753350,0.040645960,0.113227000
WQAQPCDUOCURKW-UHFFFAOYSA-N,1.3,0.036309,0.063866150,0.036681721,0.036681721,0.020376727,0.013718387,0.012687339,0.020020694,0.068394550,0.058753174,0.012652650,,0.007166263,0.016500600,,,0.041770000
WSLDOOZREJYCGB-UHFFFAOYSA-N,1.7,0.044444,0.089465740,0.045050403,0.045050403,0.053385492,0.053439356,0.065484340,0.030882899,0.077805420,0.074100540,0.012569330,,0.016055170,0.011231690,,,0.045545000
WTKZEGDFNFYCGP-UHFFFAOYSA-N,3.6,0.091977,0.155719700,0.079690305,0.079690305,0.118892220,0.099476860,0.099477580,0.107358990,0.133208590,0.142360730,0.042993570,0.038405820,0.038408020,0.046116860,0.047086120,0.049383900,
WVDDGKGOMKODPV-UHFFFAOYSA-N,3,0.089491,0.157383020,0.083973206,0.083973206,0.067444670,0.056884363,0.056923807,0.066630036,0.073234830,0.098158810,0.024722370,0.026996860,0.026809890,0.024783540,0.024955530,0.029288090,0.094676000
WVGCPEDBFHEHEZ-UHFFFAOYSA-N,3.9,0.10176,,0.083592744,0.083592744,0.130266700,0.111303680,0.113006234,0.118566300,0.151756350,0.159157430,0.047346740,,0.042418280,0.043462580,,,0.107607000
WXNZTHHGJRFXKQ-UHFFFAOYSA-N,4.1,0.110728,0.189912740,0.099672971,0.099672971,0.093134120,0.081809450,0.085472000,0.080970556,0.132833750,0.137167780,0.035121110,,0.037568110,0.031154600,,,0.112293000
XBNGYFFABRKICK-UHFFFAOYSA-N,4.5,0.11302,0.195909600,0.097582618,0.097582618,0.109132220,0.118561030,0.118561800,0.102499600,0.145802260,0.149201620,0.037036330,0.042026770,0.042028530,0.035695140,0.045270390,0.045570490,0.121613000
XEJIHKUDPINBCS-UHFFFAOYSA-N,4.3,0.100767,0.178283660,0.072051448,,0.106033090,0.094368310,0.086853000,0.099144615,0.132018210,0.131925390,0.040037610,,0.038249850,0.042788260,,,0.103861000
XFHVEEHRWSWVGA-UHFFFAOYSA-N,4,0.093613,0.160563200,0.071530018,0.071530018,0.105436526,0.086894280,0.086915970,0.082515710,0.112253970,0.116074950,0.041294980,0.038759610,0.038905000,0.034342130,0.040313580,0.039950690,0.100372000
XIFJZJPMHNUGRA-UHFFFAOYSA-N,2.9,0.093983,0.152375550,0.079862932,0.079862932,0.111803110,0.072323345,0.075238850,0.111196890,0.131758960,0.136534360,0.047433150,0.037217180,0.037716070,0.037348420,0.052657380,0.053300910,0.096990000
XJCVRTZCHMZPBD-UHFFFAOYSA-N,3,0.087592,0.152835610,0.076931154,0.076931154,0.104712844,0.075581856,0.075637840,0.123149040,0.120446965,0.131539610,0.044897510,0.039516460,0.039632820,0.038092990,0.048877380,0.050637160,0.091448000
XKVUYEYANWFIJX-UHFFFAOYSA-N,3.6,0.087857,0.152780120,0.074646433,0.074646433,0.111942700,0.096424766,0.096425790,0.096793960,0.121685860,0.130967230,0.042010050,0.038147910,0.038150430,0.041217870,0.044867250,0.047256550,0.093847000
XLYOFNOQVPJJNP-UHFFFAOYSA-N,2.8,0.084835,0.158806120,0.082169594,0.082169594,0.070274340,0.057162896,0.057301610,0.062774510,0.108310310,0.116582274,0.026282020,0.030283880,0.030284990,0.022697440,0.032906870,0.033306630,0.090600000
XONGRFUEHPBOBB-PVQJCKRUSA-N,,0.06435,,0.064743085,0.064743085,0.088872760,0.098969410,0.094208630,0.080569970,0.126851080,0.120303960,,,,,,,0.069535000
XOUQAVYLRNOXDO-UHFFFAOYSA-N,3.6,0.100858,0.172843780,0.090774937,0.090774937,0.077457520,0.069100930,0.069071150,0.073034010,0.106863960,0.109909900,0.031853300,0.033061560,0.033065140,0.029591610,0.037384330,0.037072420,0.103739000
XRGPFNGLRSIPSA-UHFFFAOYSA-N,2.3,0.071332,0.116587280,0.062974650,0.062974650,0.110521060,0.087980020,0.087953680,0.096362196,0.101380930,0.097693470,0.042712930,0.036515010,0.036516730,0.043157790,0.039516300,0.037702700,0.078784000
XRXMNWGCKISMOH-UHFFFAOYSA-N,4,0.09945,,0.088828455,0.088828455,0.076979370,0.069079670,0.068482200,0.066657975,0.104029820,0.109314650,0.028075240,,0.025764030,0.025007880,,,0.107643000
XSQWEWUZBUNKAO-UHFFFAOYSA-N,3.2,0.082818,0.138170960,0.070634347,,0.073045805,0.055965867,0.053526740,0.057283003,0.101032490,0.098892570,0.028940380,,0.025909760,0.026207410,,,0.086947000
XZNOAVNRSFURIR-UHFFFAOYSA-N,4.9,0.115069,0.215207790,0.099757228,0.099757228,0.123579174,0.137548100,0.137574990,0.116368410,0.156680200,0.166845470,0.038740910,0.054468680,0.054469510,0.042958850,0.042589710,0.044196060,0.126904000
YCOXTKKNXUZSKD-UHFFFAOYSA-N,3.6,0.098374,0.169683960,0.091161652,0.091161652,0.077497890,0.069305174,0.069328770,0.071366530,0.107214525,0.111224590,0.029221180,0.031848590,0.031850870,0.027020060,0.034341000,0.034327090,0.100712000
YEDUAINPPJYDJZ-UHFFFAOYSA-N,4.3,0.09742,0.167510750,0.076518393,,0.085497740,0.065625530,0.062760696,0.067608280,0.115642670,0.113893434,0.036589230,,0.030436690,0.035196660,,,0.102887000
YFDSDPIBEUFTMI-UHFFFAOYSA-N,3.3,0.091828,,0.085428756,0.085428756,0.065679245,0.074689050,0.074388420,0.059844090,0.119783100,0.106004360,0.018724980,,0.027119530,0.012682010,,,0.091814000
YHMYGUUIMTVXNW-UHFFFAOYSA-N,4,0.095799,0.155765280,0.070450256,0.070450256,0.107466170,0.091496140,0.083967686,0.094840170,0.130386230,0.133444460,0.039180440,,0.034128420,0.038942730,,,0.100938000
YKUCHDXIBAQWSF-UHFFFAOYSA-N,4.2,0.106569,0.186097260,0.098806714,0.098806714,0.097062450,0.083199280,0.083204820,0.090577030,0.128831360,0.131829950,0.036859120,0.036855130,0.036858000,0.034942650,0.044570100,0.044635540,0.110026000
YMWUJEATGCHHMB-UHFFFAOYSA-N,1.9,0.05685,0.123205150,0.068838263,0.068838263,0.077201930,0.079221204,0.098562600,0.036211357,0.108471155,0.101161370,0.018059860,,0.023586590,0.016330890,,,0.056986000
YNJBWRMUSHSURL-UHFFFAOYSA-N,5.2,0.124802,0.212991650,0.103709445,0.103709445,0.103242435,0.098308146,0.103125120,0.083031960,0.145448400,0.147686260,0.028993600,,0.036191740,0.025043790,,,0.127447000
YORCIIVHUBAYBQ-UHFFFAOYSA-N,2.1,0.065488,,0.053600849,0.053600849,0.095809640,0.081347734,0.081389850,0.089512280,0.098418444,0.086820565,0.037221010,,0.032673590,0.040266780,,,0.070960000
YQUQWHNMBPIWGK-UHFFFAOYSA-N,3.6,0.100393,0.178890400,0.093631373,0.093631373,0.079682210,0.069801100,0.069803520,0.073908165,0.109766820,0.114777140,0.035046780,0.034893200,0.034896810,0.033067550,0.038571540,0.038437940,0.102256000
YSJKYAHYBFJVKV-UHFFFAOYSA-N,3.9,0.097296,0.170775230,0.073496664,0.073496664,0.122056924,0.101324700,0.101372190,0.181632340,0.120068880,0.133210450,0.037900230,0.034975120,0.035200660,0.033807110,0.034012490,0.036617530,0.107050000
YUKQRDCYNOVPGJ-UHFFFAOYSA-N,3.7,0.098511,0.173857660,0.079105483,0.079105483,0.100509524,0.075152910,0.064259800,0.118293405,0.140064870,0.140495450,0.040491340,,0.032130190,0.048171630,,,0.100104000
YVXHZKKCZYLQOP-UHFFFAOYSA-N,1.9,0.049615,0.074817100,0.040406621,0.040406621,0.077512730,0.060922600,0.060923193,0.068832130,0.052117374,0.051559612,0.031148850,0.026402770,0.026404030,0.033751290,0.021766390,0.021496730,0.057222000
YXIWHUQXZSMYRE-UHFFFAOYSA-N,4.5,0.099494,0.173858230,0.076586193,0.076586193,0.090677220,0.077725664,0.062843440,0.084958570,0.133225290,0.126472280,0.038940850,,0.031875110,0.043195370,,,0.102503000
YXVFYQXJAXKLAK-UHFFFAOYSA-N,3.8,0.104059,0.181956650,0.096456608,0.096456608,0.085021496,0.071105790,0.071070306,0.078358000,0.118729590,0.122288100,0.034155590,0.034977330,0.035154170,0.031124530,0.041653190,0.041285090,0.106485000
YZERDTREOUSUHF-UHFFFAOYSA-N,5,0.107963,0.191402520,0.092901496,0.092901496,0.097232416,0.135903760,0.135836080,0.090471300,0.129102830,0.136401430,0.029409820,0.039109470,0.039256260,0.028378790,0.035917680,0.036804230,0.118582000
ZEFMBAFMCSYJOO-UHFFFAOYSA-N,5.3,0.130289,0.227338610,0.115409996,0.115409996,0.144581620,0.132069810,0.132099120,0.150411640,0.182861580,0.183102550,0.055549050,0.058153830,0.058189670,0.051909080,0.063392480,0.061714610,0.133003000
ZLVFYUORUHNMBO-UHFFFAOYSA-N,3.3,0.102916,,0.096980979,0.096980979,0.084961700,0.080319410,0.081143910,0.081221536,0.118867990,0.121365660,0.033637950,,0.034034450,0.031971880,,,0.103908000
ZMEVDFFLOPFGCR-UHFFFAOYSA-N,4.1,0.093926,0.163602040,0.073242105,,0.081808300,0.062683430,0.060050324,0.068693560,0.111881330,0.109620840,0.033997610,,0.031542330,0.034302470,,,0.099186000
ZSIAUFGUXNUGDI-UHFFFAOYSA-N,2.7,0.082592,0.145539730,0.079103125,0.079103125,0.055206105,0.053241430,0.053243145,0.055710673,0.079790294,0.084817110,0.019532610,0.024565110,0.024566180,0.019998170,0.023395690,0.023303370,0.086100000
ZSMRRZONCYIFNB-UHFFFAOYSA-N,2.8,0.077259,0.130247640,0.068426838,0.068426838,0.084824830,0.039435390,0.039474320,0.041057963,0.095389870,0.105086410,0.039321800,0.026094970,0.026088800,0.028772870,0.042774210,0.046045890,0.079380000
ZUTYZAFDFLLILI-QMMMGPOBSA-N,,0.100312,0.179310750,0.092732618,0.092732618,0.079238920,0.070242690,0.070308450,0.073559790,0.109002700,0.113639890,0.032830070,0.034103270,0.034112710,0.034436460,0.039039860,0.039375770,0.103012000
